# wavelength[µm] (rp/rs)^2
2.411472325717358700e+00 1.637087752856195705e-02
2.403149453874043218e+00 1.630820778255728451e-02
2.394855307301584801e+00 1.634281992384161927e-02
2.386589786858580808e+00 1.633673344560865673e-02
2.378352793745801996e+00 1.632897268055191406e-02
2.370144229505012134e+00 1.629783093181856254e-02
2.361963996017789391e+00 1.631578185992343250e-02
2.353811995504354826e+00 1.632193718653057041e-02
2.345688130522402659e+00 1.632716893921349818e-02
2.337592303965936757e+00 1.631640336402209734e-02
2.329524419064110230e+00 1.631070738575333273e-02
2.321484379380064134e+00 1.628127392325744854e-02
2.313472088809783500e+00 1.626375033706717321e-02
2.305487451580938707e+00 1.625929985204314226e-02
2.297530372251747721e+00 1.629433321280022301e-02
2.289600755709833457e+00 1.626253148322989728e-02
2.281698507171085577e+00 1.626381070803005827e-02
2.273823532178528062e+00 1.623737009498411529e-02
2.265975736601190338e+00 1.623508737810338762e-02
2.258155026632982398e+00 1.622504406063673271e-02
2.250361308791574366e+00 1.622335882019629305e-02
2.242594489917276501e+00 1.621143864756938169e-02
2.234854477171928533e+00 1.620797467594463359e-02
2.227141178037786773e+00 1.620514653004529945e-02
2.219454500316421885e+00 1.621773822020600858e-02
2.211794352127613994e+00 1.621315706473099721e-02
2.204160641908255780e+00 1.621200812657731111e-02
2.196553278411258692e+00 1.618470447915924815e-02
2.188972170704458264e+00 1.616228040582035411e-02
2.181417228169532763e+00 1.615722990207483015e-02
2.173888360500916495e+00 1.614617859920776735e-02
2.166385477704721563e+00 1.614010534669904282e-02
2.158908490097661392e+00 1.613684644282741693e-02
2.151457308305980476e+00 1.614787887966695132e-02
2.144031843264382342e+00 1.613642247523152176e-02
2.136632006214969515e+00 1.612422604025802106e-02
2.129257708706179475e+00 1.616392093795896226e-02
2.121908862591728617e+00 1.612686296817788037e-02
2.114585380029558870e+00 1.614286863826254470e-02
2.107287173480786091e+00 1.614236753709641370e-02
2.100014155708655128e+00 1.615989504830237303e-02
2.092766239777497983e+00 1.617065374251460200e-02
2.085543339051691536e+00 1.619103853218232733e-02
2.078345367194625481e+00 1.615786387865765852e-02
2.071172238167667601e+00 1.619383876650622514e-02
2.064023866229136139e+00 1.622924423811028180e-02
2.056900165933276181e+00 1.622177175572539834e-02
2.049801052129237799e+00 1.619249921334854625e-02
2.042726439960056428e+00 1.624743255802384156e-02
2.035676244861639450e+00 1.624416278612166378e-02
2.028650382561757670e+00 1.622730146125209508e-02
2.021648769079035013e+00 1.620510307763144142e-02
2.014671320721946213e+00 1.623745691462768342e-02
2.007717954087816281e+00 1.630463648860052892e-02
2.000788586061821750e+00 1.628547369550416291e-02
1.993883133816000131e+00 1.623378334577482707e-02
1.987001514808258484e+00 1.619987391859273665e-02
1.980143646781386879e+00 1.628437832125111118e-02
1.973309447762074287e+00 1.621416534394989895e-02
1.966498836059930255e+00 1.622978709632942607e-02
1.959711730266506580e+00 1.619037298206759540e-02
1.952948049254327190e+00 1.624237933218340008e-02
1.946207712175915150e+00 1.625430466412374278e-02
1.939490638462828764e+00 1.621212119330662713e-02
1.932796747824695682e+00 1.622314916869909557e-02
1.926125960248256330e+00 1.620222975451036593e-02
1.919478195996406011e+00 1.622587590559778151e-02
1.912853375607242112e+00 1.620682945104896799e-02
1.906251419893113974e+00 1.616638884237949630e-02
1.899672249939674984e+00 1.623049879619455418e-02
1.893115787104942660e+00 1.622105618387516615e-02
1.886581953018356517e+00 1.630596051452880973e-02
1.880070669579839704e+00 1.630529246012290059e-02
1.873581858958870194e+00 1.627437096935830177e-02
1.867115443593545088e+00 1.628625984109213082e-02
1.860671346189656239e+00 1.635381686173118659e-02
1.854249489719767219e+00 1.628926679057798171e-02
1.847849797422290719e+00 1.626200229546199277e-02
1.841472192800571728e+00 1.628555592672739638e-02
1.835116599621973377e+00 1.627044128558630814e-02
1.828782941916964777e+00 1.613814502736545323e-02
1.822471143978214414e+00 1.624128969437633671e-02
1.816181130359683538e+00 1.617975399847026291e-02
1.809912825875726661e+00 1.624483395344163833e-02
1.803666155600190946e+00 1.623213398908259636e-02
1.797441044865519366e+00 1.622203117804781047e-02
1.791237419261862085e+00 1.616296393905487794e-02
1.785055204636183612e+00 1.616982527738694553e-02
1.778894327091378846e+00 1.618714105449811300e-02
1.772754712985387560e+00 1.614440321012335089e-02
1.766636288930314658e+00 1.609203248152919763e-02
1.760538981791555102e+00 1.608632792520648530e-02
1.754462718686916833e+00 1.606332068470891009e-02
1.748407426985751467e+00 1.603687069646569235e-02
1.742373034308085433e+00 1.602177924807033152e-02
1.736359468523754224e+00 1.600830409447767319e-02
1.730366657751541970e+00 1.602521760364097880e-02
1.724394530358320354e+00 1.601901642366086037e-02
1.718443014958193293e+00 1.598019979274447819e-02
1.712512040411644287e+00 1.596614522192665170e-02
1.706601535824683546e+00 1.593922429303893176e-02
