# wavelength[µm] (rp/rs)^2 error
2.57976642e+00 3.66086467e-04 3.66086467e-09
2.57072713e+00 3.64159066e-04 3.64159066e-09
2.56171953e+00 3.66081502e-04 3.66081502e-09
2.55274348e+00 3.65331886e-04 3.65331886e-09
2.54379888e+00 3.66370201e-04 3.66370201e-09
2.53488563e+00 3.66571071e-04 3.66571071e-09
2.52600360e+00 3.68526498e-04 3.68526498e-09
2.51715270e+00 3.68735084e-04 3.68735084e-09
2.50833281e+00 3.69268210e-04 3.69268210e-09
2.49954383e+00 3.69935635e-04 3.69935635e-09
2.49078564e+00 3.70712988e-04 3.70712988e-09
2.48205814e+00 3.72923200e-04 3.72923200e-09
2.47336122e+00 3.72680776e-04 3.72680776e-09
2.46469477e+00 3.72341131e-04 3.72341131e-09
2.45605869e+00 3.74342641e-04 3.74342641e-09
2.44745287e+00 3.74823349e-04 3.74823349e-09
2.43887720e+00 3.73313394e-04 3.73313394e-09
2.43033159e+00 3.74008596e-04 3.74008596e-09
2.42181591e+00 3.74686332e-04 3.74686332e-09
2.41333007e+00 3.76365951e-04 3.76365951e-09
2.40487397e+00 3.74156089e-04 3.74156089e-09
2.39644750e+00 3.76282427e-04 3.76282427e-09
2.38805055e+00 3.79894066e-04 3.79894066e-09
2.37968302e+00 3.77102274e-04 3.77102274e-09
2.37134482e+00 3.75906219e-04 3.75906219e-09
2.36303583e+00 3.77439175e-04 3.77439175e-09
2.35475595e+00 3.80439402e-04 3.80439402e-09
2.34650509e+00 3.78088192e-04 3.78088192e-09
2.33828313e+00 3.78699936e-04 3.78699936e-09
2.33008999e+00 3.79362499e-04 3.79362499e-09
2.32192555e+00 3.77871918e-04 3.77871918e-09
2.31378972e+00 3.75206462e-04 3.75206462e-09
2.30568240e+00 3.76037011e-04 3.76037011e-09
2.29760348e+00 3.78252422e-04 3.78252422e-09
2.28955288e+00 3.76093233e-04 3.76093233e-09
2.28153048e+00 3.75404159e-04 3.75404159e-09
2.27353619e+00 3.74715361e-04 3.74715361e-09
2.26556991e+00 3.74349655e-04 3.74349655e-09
2.25763155e+00 3.73925114e-04 3.73925114e-09
2.24972100e+00 3.73653937e-04 3.73653937e-09
2.24183817e+00 3.73341205e-04 3.73341205e-09
2.23398296e+00 3.72863143e-04 3.72863143e-09
2.22615527e+00 3.72971938e-04 3.72971938e-09
2.21835501e+00 3.73156108e-04 3.73156108e-09
2.21058209e+00 3.73360608e-04 3.73360608e-09
2.20283639e+00 3.72266950e-04 3.72266950e-09
2.19511784e+00 3.70886926e-04 3.70886926e-09
2.18742634e+00 3.69738143e-04 3.69738143e-09
2.17976178e+00 3.68457574e-04 3.68457574e-09
2.17212408e+00 3.67372968e-04 3.67372968e-09
2.16451314e+00 3.66324232e-04 3.66324232e-09
2.15692887e+00 3.65288072e-04 3.65288072e-09
2.14937118e+00 3.64192575e-04 3.64192575e-09
2.14183996e+00 3.63042644e-04 3.63042644e-09
2.13433514e+00 3.61946724e-04 3.61946724e-09
2.12685661e+00 3.60884858e-04 3.60884858e-09
2.11940429e+00 3.59735645e-04 3.59735645e-09
2.11197807e+00 3.58643947e-04 3.58643947e-09
2.10457788e+00 3.57548473e-04 3.57548473e-09
2.09720362e+00 3.56405646e-04 3.56405646e-09
2.08985520e+00 3.55341132e-04 3.55341132e-09
2.08253252e+00 3.54145380e-04 3.54145380e-09
2.07523551e+00 3.52984127e-04 3.52984127e-09
2.06796406e+00 3.51749701e-04 3.51749701e-09
2.06071809e+00 3.50486012e-04 3.50486012e-09
2.05349751e+00 3.49252398e-04 3.49252398e-09
2.04630223e+00 3.47858508e-04 3.47858508e-09
2.03913216e+00 3.46575562e-04 3.46575562e-09
2.03198721e+00 3.45419526e-04 3.45419526e-09
2.02486730e+00 3.44331952e-04 3.44331952e-09
2.01777234e+00 3.43337051e-04 3.43337051e-09
2.01070224e+00 3.42518451e-04 3.42518451e-09
2.00365691e+00 3.41478939e-04 3.41478939e-09
1.99663626e+00 3.40771618e-04 3.40771618e-09
1.98964022e+00 3.39814162e-04 3.39814162e-09
1.98266869e+00 3.39627850e-04 3.39627850e-09
1.97572159e+00 3.38737011e-04 3.38737011e-09
1.96879883e+00 3.38352971e-04 3.38352971e-09
1.96190033e+00 3.38280338e-04 3.38280338e-09
1.95502599e+00 3.38301730e-04 3.38301730e-09
1.94817575e+00 3.38111077e-04 3.38111077e-09
1.94134951e+00 3.37852582e-04 3.37852582e-09
1.93454718e+00 3.37805620e-04 3.37805620e-09
1.92776869e+00 3.37970944e-04 3.37970944e-09
1.92101396e+00 3.38174256e-04 3.38174256e-09
1.91428289e+00 3.38270885e-04 3.38270885e-09
1.90757540e+00 3.38670632e-04 3.38670632e-09
1.90089142e+00 3.39269019e-04 3.39269019e-09
1.89423086e+00 3.39700595e-04 3.39700595e-09
1.88759364e+00 3.40342302e-04 3.40342302e-09
1.88097967e+00 3.40994269e-04 3.40994269e-09
1.87438888e+00 3.41287535e-04 3.41287535e-09
1.86782118e+00 3.41898848e-04 3.41898848e-09
1.86127649e+00 3.42640880e-04 3.42640880e-09
1.85475474e+00 3.42950073e-04 3.42950073e-09
1.84825583e+00 3.43393601e-04 3.43393601e-09
1.84177970e+00 3.44010590e-04 3.44010590e-09
1.83532626e+00 3.44675973e-04 3.44675973e-09
1.82889544e+00 3.45186902e-04 3.45186902e-09
1.82248714e+00 3.45879022e-04 3.45879022e-09
1.81610130e+00 3.46449504e-04 3.46449504e-09
1.80973784e+00 3.47223810e-04 3.47223810e-09
1.80339667e+00 3.48011163e-04 3.48011163e-09
1.79707772e+00 3.48556376e-04 3.48556376e-09
1.79078091e+00 3.48758853e-04 3.48758853e-09
1.78450617e+00 3.49066180e-04 3.49066180e-09
1.77825341e+00 3.49299740e-04 3.49299740e-09
1.77202256e+00 3.49465651e-04 3.49465651e-09
1.76581355e+00 3.49613651e-04 3.49613651e-09
1.75962629e+00 3.49900251e-04 3.49900251e-09
1.75346071e+00 3.50453705e-04 3.50453705e-09
1.74731673e+00 3.50929342e-04 3.50929342e-09
1.74119428e+00 3.51269599e-04 3.51269599e-09
1.73509328e+00 3.51183902e-04 3.51183902e-09
1.72901367e+00 3.51337624e-04 3.51337624e-09
1.72295535e+00 3.51540160e-04 3.51540160e-09
1.71691826e+00 3.52217035e-04 3.52217035e-09
1.71090232e+00 3.52852018e-04 3.52852018e-09
1.70490747e+00 3.54190515e-04 3.54190515e-09
1.69893362e+00 3.55101729e-04 3.55101729e-09
1.69298070e+00 3.55820091e-04 3.55820091e-09
1.68704864e+00 3.56001029e-04 3.56001029e-09
1.68113736e+00 3.55916823e-04 3.55916823e-09
1.67524680e+00 3.56236702e-04 3.56236702e-09
1.66937688e+00 3.55764234e-04 3.55764234e-09
1.66352752e+00 3.54881678e-04 3.54881678e-09
1.65769867e+00 3.54391620e-04 3.54391620e-09
1.65189023e+00 3.54560263e-04 3.54560263e-09
